,flightno,actualflight,departtime,arrivetime,crawltime,discount,lowest_price,days_to_departure
2267,3U8962,,11:45:00,15:15:00,2020-01-28 14:41:46,5.0,1160,45
2316,3U8962,,11:45:00,15:15:00,2020-01-29 16:00:02,5.0,1160,44
2362,3U8962,,11:45:00,15:15:00,2020-01-30 14:39:00,5.0,1160,43
2408,3U8962,,11:45:00,15:15:00,2020-01-31 14:12:03,5.0,1160,42
2453,3U8962,,11:45:00,15:15:00,2020-02-01 15:58:14,5.0,1160,41
2500,3U8962,,11:45:00,15:15:00,2020-02-02 15:50:18,5.0,1160,40
2546,3U8962,,11:45:00,15:15:00,2020-02-03 15:56:46,5.0,1160,39
2592,3U8962,,11:45:00,15:15:00,2020-02-04 12:50:40,5.0,1160,38
2638,3U8962,,11:45:00,15:15:00,2020-02-05 14:48:22,5.0,1160,37
2684,3U8962,,11:45:00,15:15:00,2020-02-06 14:29:15,5.0,1160,36
2727,3U8962,,11:45:00,15:15:00,2020-02-07 14:40:07,5.0,1160,35
2774,3U8962,,11:45:00,15:15:00,2020-02-08 15:11:35,5.0,1160,34
2804,3U8962,,11:45:00,15:15:00,2020-02-09 16:35:00,5.0,1160,33
2867,3U8962,,11:45:00,15:15:00,2020-02-10 14:30:04,5.0,1160,32
2888,3U8962,,11:45:00,15:15:00,2020-02-11 15:38:50,4.8,1130,31
2924,3U8962,,11:45:00,15:15:00,2020-02-12 16:23:55,2.8,645,30
2958,3U8962,,11:45:00,15:15:00,2020-02-13 14:43:23,2.7,640,29
3030,3U8962,,11:45:00,15:15:00,2020-02-14 15:52:23,2.7,640,28
3067,3U8962,,11:45:00,15:15:00,2020-02-15 15:49:41,2.7,640,27
3083,3U8962,,11:45:00,15:15:00,2020-02-16 14:54:40,1.7,400,26
3111,3U8962,,11:45:00,15:15:00,2020-02-17 14:25:17,1.7,400,25
3179,3U8962,,11:45:00,15:15:00,2020-02-18 17:55:49,1.5,350,24
3221,3U8962,,11:45:00,15:15:00,2020-02-19 14:32:38,1.5,350,23
3229,3U8962,,11:45:00,15:15:00,2020-02-20 15:00:51,1.9,450,22
3295,3U8962,,11:45:00,15:15:00,2020-02-21 15:55:05,0.9,200,21
3335,3U8962,,13:35:00,17:10:00,2020-02-22 16:20:30,0.9,200,20
3351,3U8962,,13:35:00,17:10:00,2020-02-23 16:07:20,0.9,200,19
3410,3U8962,,13:35:00,17:10:00,2020-02-24 17:00:43,0.9,200,18
3429,3U8962,,13:35:00,17:10:00,2020-02-25 15:26:24,0.9,200,17
3468,3U8962,,13:35:00,17:10:00,2020-02-26 14:19:39,0.5,120,16
3509,3U8962,,13:35:00,17:10:00,2020-02-27 14:31:35,0.5,120,15
3528,3U8962,,13:35:00,17:10:00,2020-02-28 16:04:15,0.5,120,14
3565,3U8962,,13:35:00,17:10:00,2020-02-29 16:36:33,0.5,110,13
3600,3U8962,,13:35:00,17:10:00,2020-03-01 17:00:54,0.4,100,12
3618,3U8962,,13:35:00,17:10:00,2020-03-03 16:58:44,0.4,100,10
3651,3U8962,,13:35:00,17:10:00,2020-03-04 16:44:45,0.4,100,9
3681,3U8962,,13:35:00,17:10:00,2020-03-05 15:42:06,0.4,100,8
3734,3U8962,,13:35:00,17:10:00,2020-03-06 15:07:38,0.4,100,7
