,flightno,actualflight,departtime,arrivetime,crawltime,discount,lowest_price,days_to_departure
144,9C6277,,16:20:00,19:45:00,2021-07-18 14:35:54,3.4,870,44
150,9C6277,,16:20:00,19:45:00,2021-07-20 14:04:57,3.4,870,42
158,9C6277,,16:20:00,19:45:00,2021-07-27 14:47:17,3.4,878,35
167,9C6277,,16:20:00,19:45:00,2021-07-29 14:37:28,2.9,750,33
170,9C6277,,16:20:00,19:45:00,2021-07-31 13:58:41,3.0,757,31
177,9C6277,,16:20:00,19:45:00,2021-08-04 14:30:15,3.0,769,27
185,9C6277,,16:20:00,19:45:00,2021-08-05 14:26:38,2.9,752,26
192,9C6277,,16:20:00,19:45:00,2021-08-09 14:37:02,3.0,765,22
202,9C6277,,16:20:00,19:45:00,2021-08-10 14:27:00,2.9,750,21
207,9C6277,,16:20:00,19:45:00,2021-08-11 14:37:27,2.9,750,20
218,9C6277,,16:20:00,19:45:00,2021-08-13 13:52:08,2.5,639,18
225,9C6277,,16:20:00,19:45:00,2021-08-18 13:53:41,2.5,630,13
228,9C6277,,16:20:00,19:45:00,2021-08-21 14:27:22,2.5,630,10
216,9C6457,,18:55:00,22:30:00,2021-08-13 13:52:08,2.4,612,18
223,9C6457,,18:55:00,22:30:00,2021-08-18 13:53:41,2.4,612,13
230,9C6457,,18:55:00,22:30:00,2021-08-21 14:27:22,2.4,612,10
138,9C6571,,12:05:00,16:45:00,2021-07-18 14:35:54,3.6,931,44
151,9C6571,,12:05:00,16:45:00,2021-07-20 14:04:57,3.6,931,42
152,9C6571,,12:05:00,16:45:00,2021-07-27 14:47:17,3.7,948,35
166,9C6571,,12:05:00,16:45:00,2021-07-29 14:37:28,3.2,811,33
172,9C6571,,12:05:00,16:45:00,2021-07-31 13:58:41,3.2,818,31
183,9C6571,,12:05:00,16:45:00,2021-08-04 14:30:15,3.2,822,27
186,9C6571,,12:05:00,16:45:00,2021-08-05 14:26:38,3.2,811,26
191,9C6571,,12:05:00,16:45:00,2021-08-09 14:37:02,3.4,861,22
203,9C6571,,12:05:00,16:45:00,2021-08-10 14:27:00,3.4,861,21
206,9C6571,,12:05:00,16:45:00,2021-08-11 14:37:27,3.4,861,20
211,9C6571,,12:05:00,16:45:00,2021-08-13 13:52:08,2.7,702,18
222,9C6571,,12:05:00,16:45:00,2021-08-18 13:53:41,2.7,691,13
227,9C6571,,12:05:00,16:45:00,2021-08-21 14:27:22,2.7,691,10
140,CA1947,,07:20:00,10:35:00,2021-07-18 14:35:54,6.5,1521,44
146,CA1947,,07:20:00,10:35:00,2021-07-20 14:04:57,6.5,1521,42
154,CA1947,,07:20:00,10:35:00,2021-07-27 14:47:17,6.5,1521,35
162,CA1947,,07:20:00,10:35:00,2021-07-28 14:32:33,6.5,1521,34
173,CA1947,,07:20:00,10:35:00,2021-07-31 13:58:41,6.5,1521,31
179,CA1947,,07:20:00,10:35:00,2021-08-04 14:30:15,6.5,1521,27
189,CA1947,,07:20:00,10:35:00,2021-08-05 14:26:38,6.5,1521,26
196,CA1947,,07:20:00,10:35:00,2021-08-09 14:37:02,6.5,1521,22
204,CA1947,,07:20:00,10:35:00,2021-08-11 14:37:27,5.1,1181,20
213,CA1947,,07:20:00,10:35:00,2021-08-13 13:52:08,4.1,961,18
221,CA1947,,07:20:00,10:35:00,2021-08-18 13:53:41,2.2,510,13
233,CA1947,,07:20:00,10:35:00,2021-08-21 14:27:22,2.2,511,10
238,CA1947,,07:20:00,10:35:00,2021-08-23 14:24:19,2.2,514,8
240,CA1947,,07:20:00,10:35:00,2021-08-27 13:58:21,2.1,500,4
139,HO1231,,19:05:00,22:15:00,2021-07-18 14:35:54,4.3,1000,44
145,HO1231,,19:05:00,22:15:00,2021-07-20 14:04:57,4.3,1000,42
153,HO1231,,19:05:00,22:15:00,2021-07-27 14:47:17,4.6,1070,35
163,HO1231,,19:05:00,22:15:00,2021-07-28 14:32:33,4.5,1058,34
165,HO1231,,19:05:00,22:15:00,2021-07-29 14:37:28,3.3,765,33
171,HO1231,,19:05:00,22:15:00,2021-07-31 13:58:41,3.6,841,31
178,HO1231,,19:05:00,22:15:00,2021-08-04 14:30:15,3.6,846,27
190,HO1231,,19:05:00,22:15:00,2021-08-05 14:26:38,3.6,846,26
197,HO1231,,19:05:00,22:15:00,2021-08-09 14:37:02,3.6,846,22
199,HO1231,,19:05:00,22:15:00,2021-08-10 14:27:00,3.6,846,21
205,HO1231,,19:05:00,22:15:00,2021-08-11 14:37:27,3.6,846,20
212,HO1231,,19:05:00,22:15:00,2021-08-13 13:52:08,3.6,846,18
220,HO1231,,19:05:00,22:15:00,2021-08-18 13:53:41,3.3,770,13
234,HO1231,,19:05:00,22:15:00,2021-08-21 14:27:22,3.1,726,10
237,HO1231,,19:05:00,22:15:00,2021-08-23 14:24:19,2.8,650,8
141,MU5297,,17:30:00,20:55:00,2021-07-18 14:35:54,7.0,1787,44
147,MU5297,,17:30:00,20:55:00,2021-07-20 14:04:57,7.0,1787,42
155,MU5297,,17:30:00,20:55:00,2021-07-27 14:47:17,4.2,1067,35
161,MU5297,,17:30:00,20:55:00,2021-07-28 14:32:33,4.2,1067,34
164,MU5297,,17:30:00,20:55:00,2021-07-29 14:37:28,4.2,1067,33
174,MU5297,,17:30:00,20:55:00,2021-07-31 13:58:41,4.2,1067,31
180,MU5297,,17:30:00,20:55:00,2021-08-04 14:30:15,4.2,1067,27
188,MU5297,,17:30:00,20:55:00,2021-08-05 14:26:38,4.2,1067,26
195,MU5297,,17:30:00,20:55:00,2021-08-09 14:37:02,4.2,1067,22
200,MU5297,,17:30:00,20:55:00,2021-08-10 14:27:00,4.2,1067,21
210,MU5297,,17:30:00,20:55:00,2021-08-11 14:37:27,4.2,1067,20
214,MU5297,,17:30:00,20:55:00,2021-08-13 13:52:08,4.2,1067,18
226,MU5297,,17:30:00,20:55:00,2021-08-18 13:53:41,2.8,710,13
232,MU5297,,17:30:00,20:55:00,2021-08-21 14:27:22,2.6,667,10
239,MU5297,,17:30:00,20:55:00,2021-08-23 14:24:19,2.3,600,8
143,MU5407,,11:05:00,14:30:00,2021-07-18 14:35:54,6.9,1776,44
149,MU5407,,11:05:00,14:30:00,2021-07-20 14:04:57,6.9,1776,42
157,MU5407,,11:05:00,14:30:00,2021-07-27 14:47:17,4.5,1156,35
159,MU5407,,11:05:00,14:30:00,2021-07-28 14:32:33,4.5,1156,34
168,MU5407,,11:05:00,14:30:00,2021-07-29 14:37:28,4.5,1156,33
176,MU5407,,11:05:00,14:30:00,2021-07-31 13:58:41,4.5,1156,31
182,MU5407,,11:05:00,14:30:00,2021-08-04 14:30:15,4.5,1156,27
184,MU5407,,11:05:00,14:30:00,2021-08-05 14:26:38,4.5,1156,26
193,MU5407,,11:05:00,14:30:00,2021-08-09 14:37:02,4.5,1156,22
198,MU5407,,11:05:00,14:30:00,2021-08-10 14:27:00,4.5,1156,21
208,MU5407,,11:05:00,14:30:00,2021-08-11 14:37:27,4.5,1156,20
217,MU5407,,11:05:00,14:30:00,2021-08-13 13:52:08,4.5,1156,18
224,MU5407,,11:05:00,14:30:00,2021-08-18 13:53:41,4.2,1086,13
229,MU5407,,11:05:00,14:30:00,2021-08-21 14:27:22,2.6,656,10
236,MU5407,,11:05:00,14:30:00,2021-08-23 14:24:19,2.6,656,8
142,MU6235,,10:35:00,13:45:00,2021-07-18 14:35:54,7.0,1788,44
148,MU6235,,10:35:00,13:45:00,2021-07-20 14:04:57,7.0,1788,42
156,MU6235,,10:35:00,13:45:00,2021-07-27 14:47:17,4.6,1168,35
