,flightno,actualflight,departtime,arrivetime,crawltime,discount,lowest_price,days_to_departure
3,9C8887,,09:10:00,12:20:00,2018-05-13 14:20:28,7.4,1310,44
68,9C8887,,09:10:00,12:20:00,2018-05-13 14:22:13,7.1,1250,44
83,9C8887,,09:10:00,12:20:00,2018-05-14 14:30:59,7.4,1310,43
151,9C8887,,09:10:00,12:20:00,2018-05-14 14:33:30,7.1,1250,43
192,9C8887,,09:10:00,12:20:00,2018-05-15 14:09:24,7.1,1250,42
199,9C8887,,09:10:00,12:20:00,2018-05-15 14:11:14,7.4,1310,42
277,9C8887,,09:10:00,12:20:00,2018-05-16 14:35:40,7.4,1310,41
301,9C8887,,09:10:00,12:20:00,2018-05-16 14:37:47,7.4,1310,41
321,9C8887,,09:10:00,12:20:00,2018-05-17 14:52:12,7.1,1250,40
360,9C8887,,09:10:00,12:20:00,2018-05-17 14:54:07,7.4,1310,40
399,9C8887,,09:10:00,12:20:00,2018-05-18 15:07:51,7.1,1250,39
438,9C8887,,09:10:00,12:20:00,2018-05-18 15:09:55,7.1,1250,39
488,9C8887,,09:10:00,12:20:00,2018-05-19 15:10:57,7.4,1310,38
553,9C8887,,09:10:00,12:20:00,2018-05-19 15:12:55,7.1,1250,38
575,9C8887,,09:10:00,12:20:00,2018-05-20 14:42:37,7.4,1310,37
596,9C8887,,09:10:00,12:20:00,2018-05-20 14:44:56,7.4,1310,37
650,9C8887,,09:10:00,12:20:00,2018-05-21 14:31:02,6.9,1220,36
705,9C8887,,09:10:00,12:20:00,2018-05-21 14:32:47,6.9,1220,36
727,9C8887,,09:10:00,12:20:00,2018-05-22 14:38:00,6.6,1160,35
766,9C8887,,09:10:00,12:20:00,2018-05-22 14:40:14,6.6,1160,35
807,9C8887,,09:10:00,12:20:00,2018-05-23 14:38:19,6.6,1160,34
831,9C8887,,09:10:00,12:20:00,2018-05-23 14:40:11,6.9,1220,34
871,9C8887,,09:10:00,12:20:00,2018-05-24 15:25:16,6.5,1140,33
911,9C8887,,09:10:00,12:20:00,2018-05-24 15:27:22,6.5,1140,33
986,9C8887,,09:10:00,12:20:00,2018-05-25 15:23:16,6.5,1140,32
991,9C8887,,09:10:00,12:20:00,2018-05-25 15:25:13,6.1,1080,32
1063,9C8887,,09:10:00,12:20:00,2018-05-26 14:32:39,6.5,1140,31
1071,9C8887,,09:10:00,12:20:00,2018-05-26 14:34:39,6.5,1140,31
1138,9C8887,,09:10:00,12:20:00,2018-05-27 15:23:55,6.1,1080,30
1184,9C8887,,09:10:00,12:20:00,2018-05-27 15:25:58,6.5,1140,30
1190,9C8887,,09:10:00,12:20:00,2018-05-28 14:51:56,6.5,1140,29
1231,9C8887,,09:10:00,12:20:00,2018-05-28 14:53:41,6.5,1140,29
1307,9C8887,,09:10:00,12:20:00,2018-05-29 14:34:07,6.9,1220,28
1345,9C8887,,09:10:00,12:20:00,2018-05-29 14:36:25,6.9,1220,28
1351,9C8887,,09:10:00,12:20:00,2018-05-30 14:21:44,6.9,1220,27
1393,9C8887,,09:10:00,12:20:00,2018-05-30 14:24:07,6.9,1220,27
1431,9C8887,,09:10:00,12:20:00,2018-05-31 14:16:01,6.6,1160,26
1506,9C8887,,09:10:00,12:20:00,2018-05-31 14:18:21,6.6,1160,26
1545,9C8887,,09:10:00,12:20:00,2018-06-01 14:18:24,6.9,1220,25
1551,9C8887,,09:10:00,12:20:00,2018-06-01 14:20:46,6.6,1160,25
1591,9C8887,,09:10:00,12:20:00,2018-06-02 15:30:08,6.9,1220,24
1631,9C8887,,09:10:00,12:20:00,2018-06-02 15:32:03,6.6,1160,24
1670,9C8887,,09:10:00,12:20:00,2018-06-03 15:08:51,6.9,1220,23
1745,9C8887,,09:10:00,12:20:00,2018-06-03 15:13:13,6.6,1160,23
1759,9C8887,,09:10:00,12:20:00,2018-06-04 14:13:49,6.6,1160,22
1825,9C8887,,09:10:00,12:20:00,2018-06-04 14:15:50,6.9,1220,22
1863,9C8887,,09:10:00,12:20:00,2018-06-05 15:19:41,6.6,1160,21
1868,9C8887,,09:10:00,12:20:00,2018-06-05 15:22:53,6.6,1160,21
1943,9C8887,,09:10:00,12:20:00,2018-06-06 15:04:12,7.1,1250,20
1951,9C8887,,09:10:00,12:20:00,2018-06-06 15:06:37,7.1,1250,20
2027,9C8887,,09:10:00,12:20:00,2018-06-07 14:35:36,7.4,1310,19
2031,9C8887,,09:10:00,12:20:00,2018-06-07 14:38:17,7.4,1310,19
2105,9C8887,,09:10:00,12:20:00,2018-06-08 15:17:44,7.1,1250,18
2145,9C8887,,09:10:00,12:20:00,2018-06-08 15:20:51,7.1,1250,18
2175,9C8887,,09:10:00,12:20:00,2018-06-09 14:22:13,7.4,1310,17
2225,9C8887,,09:10:00,12:20:00,2018-06-09 14:23:36,7.4,1310,17
2260,9C8887,,09:10:00,12:20:00,2018-06-10 14:25:14,7.4,1310,16
2271,9C8887,,09:10:00,12:20:00,2018-06-10 14:26:37,7.4,1310,16
2311,9C8887,,09:10:00,12:20:00,2018-06-11 14:24:17,7.4,1310,15
2384,9C8887,,09:10:00,12:20:00,2018-06-11 14:25:46,7.4,1310,15
2389,9C8887,,09:10:00,12:20:00,2018-06-12 14:46:05,7.1,1250,14
2431,9C8887,,09:10:00,12:20:00,2018-06-12 14:47:36,7.1,1250,14
2472,9C8887,,09:10:00,12:20:00,2018-06-13 14:50:06,7.1,1250,13
2545,9C8887,,09:10:00,12:20:00,2018-06-13 14:51:42,7.1,1250,13
2552,9C8887,,09:10:00,12:20:00,2018-06-14 14:17:32,7.4,1310,12
2591,9C8887,,09:10:00,12:20:00,2018-06-14 14:19:17,7.1,1250,12
2666,9C8887,,09:10:00,12:20:00,2018-06-15 14:22:02,6.6,1160,11
2705,9C8887,,09:10:00,12:20:00,2018-06-15 14:23:49,6.9,1220,11
2711,9C8887,,09:10:00,12:20:00,2018-06-16 14:52:31,6.6,1160,10
2751,9C8887,,09:10:00,12:20:00,2018-06-16 14:54:27,6.6,1160,10
2791,9C8887,,09:10:00,12:20:00,2018-06-17 14:45:02,6.6,1160,9
2831,9C8887,,09:10:00,12:20:00,2018-06-18 14:43:32,6.6,1160,8
2898,9C8887,,09:10:00,12:20:00,2018-06-18 14:45:25,6.6,1160,8
2932,9C8887,,09:10:00,12:20:00,2018-06-19 15:04:00,6.1,1080,7
2951,9C8887,,09:10:00,12:20:00,2018-06-19 15:05:50,6.1,1080,7
2999,9C8887,,09:10:00,12:20:00,2018-06-20 14:55:26,6.5,1140,6
3065,9C8887,,09:10:00,12:20:00,2018-06-20 14:57:25,6.5,1140,6
3071,9C8887,,09:10:00,12:20:00,2018-06-21 14:07:50,7.6,1330,5
3145,9C8887,,09:10:00,12:20:00,2018-06-21 14:09:54,7.6,1330,5
3156,9C8887,,09:10:00,12:20:00,2018-06-22 14:32:17,7.2,1270,4
3191,9C8887,,09:10:00,12:20:00,2018-06-22 14:34:15,7.2,1270,4
3246,9C8887,,09:10:00,12:20:00,2018-06-23 14:34:53,7.0,1240,3
3301,9C8887,,09:10:00,12:20:00,2018-06-23 14:37:27,6.7,1180,3
3311,9C8887,,09:10:00,12:20:00,2018-06-24 14:44:48,7.0,1240,2
3383,9C8887,,09:10:00,12:20:00,2018-06-24 14:47:04,7.0,1240,2
3416,9C8887,,09:10:00,12:20:00,2018-06-25 14:15:22,5.6,990,1
3456,9C8887,,09:10:00,12:20:00,2018-06-25 14:17:33,5.6,990,1
3504,9C8887,,09:10:00,12:20:00,2018-06-26 14:32:44,6.7,1180,0
3515,9C8887,,09:10:00,12:20:00,2018-06-26 14:34:52,6.7,1180,0
