,flightno,actualflight,departtime,arrivetime,crawltime,discount,lowest_price,days_to_departure
129,9C8887,,08:55:00,12:05:00,2021-07-03 14:48:07,5.1,1300,42
137,9C8887,,08:55:00,12:05:00,2021-07-04 14:09:29,5.1,1300,41
153,9C8887,,08:55:00,12:05:00,2021-07-07 14:12:33,4.6,1190,38
160,9C8887,,08:55:00,12:05:00,2021-07-11 13:58:52,4.6,1190,34
176,9C8887,,08:55:00,12:05:00,2021-07-12 14:41:31,4.6,1190,33
184,9C8887,,08:55:00,12:05:00,2021-07-13 14:40:17,4.6,1190,32
203,9C8887,,08:55:00,12:05:00,2021-07-14 14:33:37,4.6,1190,31
210,9C8887,,08:55:00,12:05:00,2021-07-15 14:33:30,4.6,1190,30
227,9C8887,,08:55:00,12:05:00,2021-07-17 14:46:59,4.2,1070,28
243,9C8887,,08:55:00,12:05:00,2021-07-18 14:24:57,4.2,1070,27
249,9C8887,,08:55:00,12:05:00,2021-07-20 13:54:36,4.6,1190,25
269,9C8887,,08:55:00,12:05:00,2021-07-24 14:01:40,4.6,1190,21
280,9C8887,,08:55:00,12:05:00,2021-07-25 13:59:54,4.6,1190,20
288,9C8887,,08:55:00,12:05:00,2021-07-26 14:36:55,4.6,1190,19
307,9C8887,,08:55:00,12:05:00,2021-07-27 14:36:33,4.6,1190,18
310,9C8887,,08:55:00,12:05:00,2021-07-28 14:22:25,4.6,1190,17
334,9C8887,,08:55:00,12:05:00,2021-07-29 14:27:18,4.2,1070,16
347,9C8887,,08:55:00,12:05:00,2021-07-31 13:48:11,3.3,840,14
355,9C8887,,08:55:00,12:05:00,2021-08-01 13:56:30,3.3,840,13
378,9C8887,,08:55:00,12:05:00,2021-08-03 13:55:14,3.3,840,11
387,9C8887,,08:55:00,12:05:00,2021-08-06 14:26:48,1.5,378,8
392,9C8887,,08:55:00,12:05:00,2021-08-07 14:28:03,1.5,375,7
409,9C8887,,08:55:00,12:05:00,2021-08-09 14:27:03,1.9,490,5
417,9C8887,,08:55:00,12:05:00,2021-08-10 14:16:59,1.4,357,4
430,9C8887,,08:55:00,12:05:00,2021-08-11 14:27:22,1.6,400,3
438,9C8887,,08:55:00,12:05:00,2021-08-13 13:41:56,2.1,550,1
446,9C8887,,08:55:00,12:05:00,2021-08-14 13:46:23,2.3,600,0
155,CA3225,HO1119,08:00:00,11:15:00,2021-07-11 13:58:52,9.4,2405,34
170,CA3225,HO1119,08:00:00,11:15:00,2021-07-12 14:41:31,4.9,1265,33
189,CA3225,HO1119,08:00:00,11:15:00,2021-07-13 14:40:17,4.9,1265,32
