,flightno,actualflight,departtime,arrivetime,crawltime,discount,lowest_price,days_to_departure
1410,CA1303,,13:00:00,16:25:00,2021-04-08 14:43:16,3.0,830,45
1526,CA1303,,13:00:00,16:25:00,2021-04-10 14:04:22,3.0,830,43
1536,CA1303,,13:00:00,16:25:00,2021-04-11 14:01:50,3.0,830,42
1598,CA1303,,13:00:00,16:25:00,2021-04-12 14:53:24,3.0,830,41
1627,CA1303,,13:00:00,16:25:00,2021-04-13 14:38:26,3.0,830,40
1689,CA1303,,13:00:00,16:25:00,2021-04-14 14:03:04,3.0,830,39
1719,CA1303,,13:00:00,16:25:00,2021-04-15 14:03:51,3.0,830,38
1778,CA1303,,13:00:00,16:25:00,2021-04-16 14:48:15,3.0,830,37
1837,CA1303,,13:00:00,16:25:00,2021-04-17 14:00:25,3.5,960,36
1928,CA1303,,13:00:00,16:25:00,2021-04-18 14:04:45,3.5,960,35
1973,CA1303,,13:00:00,16:25:00,2021-04-19 13:56:13,3.5,960,34
1988,CA1303,,13:00:00,16:25:00,2021-04-20 14:45:57,3.5,960,33
2022,CA1303,,13:00:00,16:25:00,2021-04-21 14:45:23,3.5,960,32
2088,CA1303,,13:00:00,16:25:00,2021-04-22 13:57:27,3.5,960,31
2145,CA1303,,13:00:00,16:25:00,2021-04-23 13:51:51,3.5,960,30
2147,CA1303,,13:00:00,16:25:00,2021-04-24 14:42:52,3.5,960,29
2205,CA1303,,13:00:00,16:25:00,2021-04-25 14:42:42,3.5,960,28
2264,CA1303,,13:00:00,16:25:00,2021-04-26 13:45:56,3.5,960,27
2323,CA1303,,13:00:00,16:25:00,2021-04-27 14:37:37,3.5,960,26
2356,CA1303,,13:00:00,16:25:00,2021-04-28 14:40:21,3.5,960,25
2447,CA1303,,13:00:00,16:25:00,2021-04-29 14:36:37,3.5,960,24
2500,CA1303,,13:00:00,16:25:00,2021-04-30 14:25:24,3.5,960,23
2507,CA1303,,13:00:00,16:25:00,2021-05-01 14:25:59,3.5,960,22
2558,CA1303,,13:00:00,16:25:00,2021-05-02 13:55:59,3.5,960,21
2615,CA1303,,13:00:00,16:25:00,2021-05-03 14:25:17,3.5,960,20
2716,CA1303,,13:00:00,16:25:00,2021-05-04 13:51:28,3.5,960,19
2763,CA1303,,13:00:00,16:25:00,2021-05-05 13:43:45,3.5,960,18
2777,CA1303,,13:00:00,16:25:00,2021-05-06 14:39:51,3.5,960,17
2841,CA1303,,13:00:00,16:25:00,2021-05-07 14:29:33,3.5,960,16
2843,CA1303,,13:00:00,16:25:00,2021-05-08 14:10:34,3.5,960,15
2959,CA1303,,13:00:00,16:25:00,2021-05-09 13:57:36,3.5,960,14
