,flightno,actualflight,departtime,arrivetime,crawltime,discount,lowest_price,days_to_departure
1953,3U1026,CZ3152,13:00:00,16:10:00,2020-12-03 15:49:32,3.6,1000,45
1988,3U1026,CZ3152,13:00:00,16:10:00,2020-12-04 14:00:48,3.6,1000,44
2014,3U1026,CZ3152,13:00:00,16:10:00,2020-12-05 16:25:47,3.1,850,43
2081,3U1026,CZ3152,13:00:00,16:10:00,2020-12-06 16:17:48,3.1,850,42
2146,3U1026,CZ3152,13:00:00,16:10:00,2020-12-07 16:01:54,3.1,850,41
2221,3U1026,CZ3152,13:00:00,16:10:00,2020-12-08 15:37:40,3.1,850,40
2268,3U1026,CZ3152,13:00:00,16:10:00,2020-12-09 14:29:23,3.1,850,39
2305,3U1026,CZ3152,13:00:00,16:10:00,2020-12-10 14:14:20,3.1,850,38
2353,3U1026,CZ3152,13:00:00,16:10:00,2020-12-11 13:51:21,3.1,850,37
2408,3U1026,CZ3152,13:00:00,16:10:00,2020-12-12 15:20:16,3.1,850,36
2463,3U1026,CZ3152,13:00:00,16:10:00,2020-12-13 16:36:06,3.1,850,35
2501,3U1026,CZ3152,13:00:00,16:10:00,2020-12-14 20:49:51,3.1,850,34
2573,3U1026,CZ3152,13:00:00,16:10:00,2020-12-15 16:05:09,3.1,850,33
2649,3U1026,CZ3152,13:00:00,16:10:00,2020-12-16 15:10:24,3.1,850,32
2708,3U1026,CZ3152,13:00:00,16:10:00,2020-12-17 14:54:35,3.1,850,31
2737,3U1026,CZ3152,13:00:00,16:10:00,2020-12-18 14:08:48,2.5,680,30
2792,3U1026,CZ3152,13:00:00,16:10:00,2020-12-19 14:07:45,2.5,680,29
2830,3U1026,CZ3152,13:00:00,16:10:00,2020-12-20 14:25:05,2.5,680,28
2912,3U1026,CZ3152,13:00:00,16:10:00,2020-12-21 14:42:26,2.5,680,27
2984,3U1026,CZ3152,13:00:00,16:10:00,2020-12-22 14:01:26,2.5,680,26
3043,3U1026,CZ3152,13:00:00,16:10:00,2020-12-23 14:09:01,2.5,680,25
3089,3U1026,CZ3152,13:00:00,16:10:00,2020-12-24 13:52:44,2.5,680,24
3160,3U1026,CZ3152,13:00:00,16:10:00,2020-12-25 14:27:18,2.5,680,23
3250,3U1026,CZ3152,13:00:00,16:10:00,2020-12-27 13:56:20,2.2,600,21
3312,3U1026,CZ3152,13:00:00,16:10:00,2020-12-28 13:47:42,2.2,600,20
3363,3U1026,CZ3152,13:00:00,16:10:00,2020-12-29 13:46:39,2.0,550,19
3442,3U1026,CZ3152,13:00:00,16:10:00,2020-12-30 14:05:16,2.2,600,18
3483,3U1026,CZ3152,13:00:00,16:10:00,2020-12-31 13:56:09,2.2,600,17
3559,3U1026,CZ3152,13:00:00,16:10:00,2021-01-01 01:55:05,2.2,600,16
3627,3U1026,CZ3152,13:00:00,16:10:00,2021-01-01 14:19:12,2.2,600,16
3641,3U1026,CZ3152,13:00:00,16:10:00,2021-01-02 14:37:27,2.2,600,15
3742,3U1026,CZ3152,13:00:00,16:10:00,2021-01-03 14:00:45,2.2,600,14
3782,3U1026,CZ3152,13:00:00,16:10:00,2021-01-04 14:02:56,2.2,600,13
3865,3U1026,CZ3152,13:00:00,16:10:00,2021-01-05 14:26:16,2.2,600,12
3925,3U1026,CZ3152,13:00:00,16:10:00,2021-01-07 14:21:12,1.8,500,10
3988,3U1026,CZ3152,13:00:00,16:10:00,2021-01-08 14:15:18,2.2,600,9
4018,3U1026,CZ3152,13:00:00,16:10:00,2021-01-09 14:13:50,1.8,500,8
4074,3U1026,CZ3152,13:00:00,16:10:00,2021-01-11 14:29:26,1.8,500,6
4139,3U1026,CZ3152,13:00:00,16:10:00,2021-01-15 13:53:00,1.8,500,2
4153,3U1026,CZ3152,13:00:00,16:10:00,2021-01-16 13:41:44,1.7,460,1
4183,3U1026,CZ3152,13:00:00,16:10:00,2021-01-17 13:42:05,1.7,460,0
1927,3U1028,CZ3154,18:00:00,21:20:00,2020-12-03 15:49:32,3.5,950,45
1965,3U1028,CZ3154,18:00:00,21:20:00,2020-12-04 14:00:48,3.5,950,44
2051,3U1028,CZ3154,18:00:00,21:20:00,2020-12-05 16:25:47,3.5,950,43
2105,3U1028,CZ3154,18:00:00,21:20:00,2020-12-06 16:17:48,3.5,950,42
2169,3U1028,CZ3154,18:00:00,21:20:00,2020-12-07 16:01:54,3.5,950,41
2216,3U1028,CZ3154,18:00:00,21:20:00,2020-12-08 15:37:40,3.5,950,40
2226,3U1028,CZ3154,18:00:00,21:20:00,2020-12-09 14:29:23,3.5,950,39
2281,3U1028,CZ3154,18:00:00,21:20:00,2020-12-10 14:14:20,3.5,950,38
2377,3U1028,CZ3154,18:00:00,21:20:00,2020-12-11 13:51:21,3.5,950,37
2432,3U1028,CZ3154,18:00:00,21:20:00,2020-12-12 15:20:16,3.5,950,36
2486,3U1028,CZ3154,18:00:00,21:20:00,2020-12-13 16:36:06,3.5,950,35
2524,3U1028,CZ3154,18:00:00,21:20:00,2020-12-14 20:49:51,3.5,950,34
2596,3U1028,CZ3154,18:00:00,21:20:00,2020-12-15 16:05:09,3.5,950,33
2614,3U1028,CZ3154,18:00:00,21:20:00,2020-12-16 15:10:24,3.5,950,32
2687,3U1028,CZ3154,18:00:00,21:20:00,2020-12-17 14:54:35,3.5,950,31
2762,3U1028,CZ3154,18:00:00,21:20:00,2020-12-18 14:08:48,3.5,950,30
2816,3U1028,CZ3154,18:00:00,21:20:00,2020-12-19 14:07:45,3.5,950,29
2856,3U1028,CZ3154,18:00:00,21:20:00,2020-12-20 14:25:05,3.5,950,28
2938,3U1028,CZ3154,18:00:00,21:20:00,2020-12-21 14:42:26,3.5,950,27
2962,3U1028,CZ3154,18:00:00,21:20:00,2020-12-22 14:01:26,2.3,620,26
3030,3U1028,CZ3154,18:00:00,21:20:00,2020-12-23 14:09:01,2.3,620,25
3115,3U1028,CZ3154,18:00:00,21:20:00,2020-12-24 13:52:44,2.3,620,24
3137,3U1028,CZ3154,18:00:00,21:20:00,2020-12-25 14:27:18,2.3,620,23
3276,3U1028,CZ3154,18:00:00,21:20:00,2020-12-27 13:56:20,2.2,600,21
3289,3U1028,CZ3154,18:00:00,21:20:00,2020-12-28 13:47:42,2.2,600,20
3389,3U1028,CZ3154,18:00:00,21:20:00,2020-12-29 13:46:39,2.0,550,19
3423,3U1028,CZ3154,18:00:00,21:20:00,2020-12-30 14:05:16,2.2,600,18
