,flightno,actualflight,departtime,arrivetime,crawltime,discount,lowest_price,days_to_departure
1947,3U2577,EU6667,17:35:00,20:20:00,2020-08-18 12:49:49,3.8,890,45
1951,3U2577,EU6667,17:35:00,20:20:00,2020-08-19 12:56:18,3.8,890,44
1999,3U2577,EU6667,17:35:00,20:20:00,2020-08-20 13:41:25,3.8,890,43
2088,3U2577,EU6667,17:35:00,20:20:00,2020-08-21 15:27:15,3.8,890,42
2092,3U2577,EU6667,17:35:00,20:20:00,2020-08-22 13:27:48,3.8,890,41
2139,3U2577,EU6667,17:35:00,20:20:00,2020-08-23 13:04:09,3.8,890,40
2186,3U2577,EU6667,17:35:00,20:20:00,2020-08-24 15:12:54,3.8,890,39
2277,3U2577,EU6667,17:35:00,20:20:00,2020-08-25 13:40:43,3.8,890,38
2326,3U2577,EU6667,17:35:00,20:20:00,2020-08-26 14:38:50,3.8,890,37
2344,3U2577,EU6667,17:35:00,20:20:00,2020-08-27 12:52:01,3.8,890,36
2381,3U2577,EU6667,17:35:00,20:20:00,2020-08-28 12:52:34,3.8,890,35
2431,3U2577,EU6667,17:35:00,20:20:00,2020-08-29 13:17:14,3.8,890,34
2482,3U2577,EU6667,17:35:00,20:20:00,2020-09-01 16:08:56,3.8,890,31
2532,3U2577,EU6667,17:35:00,20:20:00,2020-09-02 13:28:41,3.8,890,30
2583,3U2577,EU6667,17:35:00,20:20:00,2020-09-03 14:17:29,3.8,890,29
2635,3U2577,EU6667,17:35:00,20:20:00,2020-09-04 14:40:48,3.8,890,28
2663,3U2577,EU6667,17:35:00,20:20:00,2020-09-05 15:32:32,3.8,890,27
2716,3U2577,EU6667,17:35:00,20:20:00,2020-09-06 16:41:57,3.8,890,26
2767,3U2577,EU6667,17:35:00,20:20:00,2020-09-07 13:34:27,3.8,890,25
2820,3U2577,EU6667,17:35:00,20:20:00,2020-09-08 12:35:16,3.8,890,24
2871,3U2577,EU6667,17:35:00,20:20:00,2020-09-09 12:25:38,3.8,890,23
