,flightno,actualflight,departtime,arrivetime,crawltime,discount,lowest_price,days_to_departure
0,3U5007,MU5404,08:00:00,10:40:00,2016-12-14 14:04:31,6.8,1201,44
68,3U5007,MU5404,08:00:00,10:40:00,2016-12-14 14:04:33,6.8,1201,44
93,3U5007,MU5404,08:00:00,10:40:00,2016-12-15 14:12:22,6.8,1201,43
120,3U5007,MU5404,08:00:00,10:40:00,2016-12-15 14:12:29,6.8,1201,43
165,3U5007,MU5404,08:00:00,10:40:00,2016-12-16 14:17:09,6.9,1216,42
225,3U5007,MU5404,08:00:00,10:40:00,2016-12-16 14:17:14,6.9,1216,42
235,3U5007,MU5404,08:00:00,10:40:00,2016-12-17 13:55:40,7.0,1225,41
301,3U5007,MU5404,08:00:00,10:40:00,2016-12-17 13:55:44,7.0,1225,41
312,3U5007,MU5404,08:00:00,10:40:00,2016-12-18 14:00:22,7.0,1225,40
357,3U5007,MU5404,08:00:00,10:40:00,2016-12-18 14:00:26,7.0,1225,40
406,3U5007,MU5404,08:00:00,10:40:00,2016-12-19 14:04:50,7.0,1225,39
445,3U5007,MU5404,08:00:00,10:40:00,2016-12-19 14:26:35,7.0,1225,39
477,3U5007,MU5404,08:00:00,10:40:00,2016-12-20 13:55:38,7.0,1225,38
528,3U5007,MU5404,08:00:00,10:40:00,2016-12-20 14:16:07,7.0,1225,38
563,3U5007,MU5404,08:00:00,10:40:00,2016-12-21 13:58:53,7.0,1225,37
608,3U5007,MU5404,08:00:00,10:40:00,2016-12-21 13:59:01,7.0,1225,37
641,3U5007,MU5404,08:00:00,10:40:00,2016-12-23 13:52:48,7.0,1225,35
681,3U5007,MU5404,08:00:00,10:40:00,2016-12-23 13:52:54,7.0,1225,35
725,3U5007,MU5404,08:00:00,10:40:00,2016-12-24 14:08:28,6.9,1223,34
760,3U5007,MU5404,08:00:00,10:40:00,2016-12-24 14:08:36,6.9,1223,34
798,3U5007,MU5404,08:00:00,10:40:00,2016-12-26 14:02:30,7.0,1225,32
841,3U5007,MU5404,08:00:00,10:40:00,2016-12-26 14:02:36,7.0,1225,32
881,3U5007,MU5404,08:00:00,10:40:00,2016-12-27 13:58:12,7.0,1225,31
