,flightno,actualflight,departtime,arrivetime,crawltime,discount,lowest_price,days_to_departure
82,9C6278,,11:00:00,14:05:00,2021-06-28 14:48:43,4.8,1221,44
91,9C6278,,11:00:00,14:05:00,2021-07-02 14:47:01,4.8,1221,40
97,9C6278,,11:00:00,14:05:00,2021-07-06 13:56:20,5.2,1331,36
109,9C6278,,11:00:00,14:05:00,2021-07-07 14:10:36,5.2,1331,35
112,9C6278,,11:00:00,14:05:00,2021-07-08 14:16:14,5.2,1331,34
119,9C6278,,11:00:00,14:05:00,2021-07-12 07:45:29,5.2,1331,30
133,9C6278,,11:00:00,14:05:00,2021-07-12 14:39:38,5.2,1331,30
142,9C6278,,11:00:00,14:05:00,2021-07-13 14:38:42,5.2,1331,29
143,9C6278,,11:00:00,14:05:00,2021-07-14 14:31:29,5.2,1331,28
163,9C6278,,11:00:00,14:05:00,2021-07-22 14:02:09,5.2,1331,20
167,9C6278,,11:00:00,14:05:00,2021-07-26 14:35:34,5.2,1331,16
175,9C6278,,11:00:00,14:05:00,2021-07-27 14:34:11,5.2,1331,15
180,9C6278,,11:00:00,14:05:00,2021-07-28 14:21:00,5.2,1331,14
191,9C6278,,11:00:00,14:05:00,2021-07-29 14:25:30,3.8,978,13
199,9C6278,,11:00:00,14:05:00,2021-07-30 13:49:35,3.7,950,12
210,9C6278,,11:00:00,14:05:00,2021-08-03 13:53:28,2.5,647,8
215,9C6278,,11:00:00,14:05:00,2021-08-04 14:17:47,2.8,720,7
220,9C6278,,11:00:00,14:05:00,2021-08-05 14:14:13,2.9,751,6
223,9C6278,,11:00:00,14:05:00,2021-08-06 14:24:43,2.3,589,5
225,9C6278,,11:00:00,14:05:00,2021-08-08 14:24:38,1.5,377,3
227,9C6278,,11:00:00,14:05:00,2021-08-09 14:25:26,1.5,377,2
85,9C6458,,17:00:00,20:05:00,2021-06-28 14:48:43,4.2,1083,44
88,9C6458,,17:00:00,20:05:00,2021-07-02 14:47:01,4.2,1083,40
102,9C6458,,17:00:00,20:05:00,2021-07-06 13:56:20,4.3,1103,36
106,9C6458,,17:00:00,20:05:00,2021-07-07 14:10:36,4.7,1203,35
115,9C6458,,17:00:00,20:05:00,2021-07-08 14:16:14,4.7,1203,34
123,9C6458,,17:00:00,20:05:00,2021-07-12 07:45:29,4.7,1203,30
132,9C6458,,17:00:00,20:05:00,2021-07-12 14:39:38,4.7,1203,30
138,9C6458,,17:00:00,20:05:00,2021-07-13 14:38:42,4.7,1203,29
147,9C6458,,17:00:00,20:05:00,2021-07-14 14:31:29,4.7,1203,28
160,9C6458,,17:00:00,20:05:00,2021-07-22 14:02:09,5.1,1313,20
169,9C6458,,17:00:00,20:05:00,2021-07-26 14:35:34,5.1,1313,16
179,9C6458,,17:00:00,20:05:00,2021-07-27 14:34:11,5.1,1313,15
183,9C6458,,17:00:00,20:05:00,2021-07-28 14:21:00,5.1,1313,14
195,9C6458,,17:00:00,20:05:00,2021-07-29 14:25:30,3.7,954,13
203,9C6458,,17:00:00,20:05:00,2021-07-30 13:49:35,3.7,950,12
206,9C6458,,17:00:00,20:05:00,2021-08-03 13:53:28,2.4,620,8
216,9C6458,,17:00:00,20:05:00,2021-08-04 14:17:47,2.4,618,7
221,9C6458,,17:00:00,20:05:00,2021-08-05 14:14:13,2.5,629,6
224,9C6458,,17:00:00,20:05:00,2021-08-06 14:24:43,2.3,579,5
226,9C6458,,17:00:00,20:05:00,2021-08-08 14:24:38,1.5,379,3
228,9C6458,,17:00:00,20:05:00,2021-08-09 14:25:26,1.5,378,2
99,CA1948,,12:00:00,15:00:00,2021-07-06 13:56:20,6.8,1592,36
108,CA1948,,12:00:00,15:00:00,2021-07-07 14:10:36,6.8,1592,35
118,CA1948,,12:00:00,15:00:00,2021-07-08 14:16:14,6.8,1592,34
126,CA1948,,12:00:00,15:00:00,2021-07-12 07:45:29,6.8,1592,30
128,CA1948,,12:00:00,15:00:00,2021-07-12 14:39:38,6.8,1592,30
141,CA1948,,12:00:00,15:00:00,2021-07-13 14:38:42,6.8,1592,29
150,CA1948,,12:00:00,15:00:00,2021-07-14 14:31:29,6.8,1592,28
155,CA1948,,12:00:00,15:00:00,2021-07-16 14:23:22,6.8,1592,26
162,CA1948,,12:00:00,15:00:00,2021-07-22 14:02:09,6.8,1592,20
176,CA1948,,12:00:00,15:00:00,2021-07-27 14:34:11,5.6,1312,15
187,CA1948,,12:00:00,15:00:00,2021-07-28 14:21:00,5.6,1312,14
192,CA1948,,12:00:00,15:00:00,2021-07-29 14:25:30,5.6,1300,13
200,CA1948,,12:00:00,15:00:00,2021-07-30 13:49:35,5.6,1300,12
84,HO1040,,19:45:00,00:35:00,2021-06-28 14:48:43,6.1,1424,44
92,HO1040,,19:45:00,00:35:00,2021-07-02 14:47:01,6.1,1424,40
101,HO1040,,19:45:00,00:35:00,2021-07-06 13:56:20,6.2,1444,36
103,HO1040,,19:45:00,00:35:00,2021-07-07 14:10:36,6.2,1444,35
116,HO1040,,19:45:00,00:35:00,2021-07-08 14:16:14,6.2,1444,34
124,HO1040,,19:45:00,00:35:00,2021-07-12 07:45:29,6.2,1444,30
134,HO1040,,19:45:00,00:35:00,2021-07-12 14:39:38,6.2,1444,30
