,flightno,actualflight,departtime,arrivetime,crawltime,discount,lowest_price,days_to_departure
202,9C8888,,13:30:00,16:15:00,2021-07-11 14:06:37,4.4,1131,45
210,9C8888,,13:30:00,16:15:00,2021-07-12 14:48:43,4.4,1131,44
221,9C8888,,13:30:00,16:15:00,2021-07-13 14:47:42,4.4,1131,43
226,9C8888,,13:30:00,16:15:00,2021-07-14 14:40:51,4.4,1131,42
237,9C8888,,13:30:00,16:15:00,2021-07-15 14:40:46,4.4,1131,41
248,9C8888,,13:30:00,16:15:00,2021-07-19 14:07:17,4.4,1131,37
258,9C8888,,13:30:00,16:15:00,2021-07-20 14:01:12,4.4,1131,36
276,9C8888,,13:30:00,16:15:00,2021-07-22 14:10:06,4.4,1131,34
282,9C8888,,13:30:00,16:15:00,2021-07-24 10:19:18,4.4,1131,32
291,9C8888,,13:30:00,16:15:00,2021-07-26 14:44:23,4.4,1131,30
297,9C8888,,13:30:00,16:15:00,2021-07-29 14:33:51,3.9,1011,27
323,9C8888,,13:30:00,16:15:00,2021-08-03 14:02:05,3.9,1011,22
333,9C8888,,13:30:00,16:15:00,2021-08-05 14:22:54,2.8,720,20
344,9C8888,,13:30:00,16:15:00,2021-08-06 14:32:54,2.8,720,19
356,9C8888,,13:30:00,16:15:00,2021-08-09 14:33:36,2.8,720,16
363,9C8888,,13:30:00,16:15:00,2021-08-11 14:33:45,2.8,720,14
365,9C8888,,13:30:00,16:15:00,2021-08-12 13:45:52,1.2,300,13
376,9C8888,,13:30:00,16:15:00,2021-08-13 06:26:29,1.2,301,12
388,9C8888,,13:30:00,16:15:00,2021-08-14 13:53:17,1.4,370,11
393,9C8888,,13:30:00,16:15:00,2021-08-15 13:41:08,1.4,370,10
405,9C8888,,13:30:00,16:15:00,2021-08-18 13:49:44,1.9,490,7
416,9C8888,,13:30:00,16:15:00,2021-08-19 13:47:18,1.9,490,6
421,9C8888,,13:30:00,16:15:00,2021-08-22 13:55:43,1.4,370,3
432,9C8888,,13:30:00,16:15:00,2021-08-23 14:20:42,1.2,300,2
440,9C8888,,13:30:00,16:15:00,2021-08-25 13:42:18,1.5,381,0
219,CA3226,HO1120,12:30:00,15:20:00,2021-07-13 14:47:42,6.7,1706,43
224,CA3226,HO1120,12:30:00,15:20:00,2021-07-14 14:40:51,6.7,1706,42
235,CA3226,HO1120,12:30:00,15:20:00,2021-07-15 14:40:46,6.7,1706,41
246,CA3226,HO1120,12:30:00,15:20:00,2021-07-19 14:07:17,6.7,1706,37
256,CA3226,HO1120,12:30:00,15:20:00,2021-07-20 14:01:12,6.7,1706,36
267,CA3226,HO1120,12:30:00,15:20:00,2021-07-22 14:10:06,6.7,1706,34
280,CA3226,HO1120,12:30:00,15:20:00,2021-07-24 10:19:18,6.7,1706,32
301,CA3226,HO1120,12:30:00,15:20:00,2021-07-29 14:33:51,6.7,1706,27
316,CA3226,HO1120,12:30:00,15:20:00,2021-08-03 14:02:05,6.7,1706,22
335,CA3226,HO1120,12:30:00,15:20:00,2021-08-05 14:22:54,6.4,1630,20
342,CA3226,HO1120,12:30:00,15:20:00,2021-08-06 14:32:54,6.4,1630,19
354,CA3226,HO1120,12:30:00,15:20:00,2021-08-09 14:33:36,6.4,1630,16
378,CA3226,HO1120,12:30:00,15:20:00,2021-08-13 06:26:29,6.4,1630,12
379,CA3226,HO1120,12:30:00,15:20:00,2021-08-14 13:53:17,6.4,1630,11
395,CA3226,HO1120,12:30:00,15:20:00,2021-08-15 13:41:08,6.4,1630,10
407,CA3226,HO1120,12:30:00,15:20:00,2021-08-18 13:49:44,6.4,1630,7
413,CA3226,HO1120,12:30:00,15:20:00,2021-08-19 13:47:18,6.4,1630,6
419,CA3226,HO1120,12:30:00,15:20:00,2021-08-22 13:55:43,6.4,1630,3
434,CA3226,HO1120,12:30:00,15:20:00,2021-08-23 14:20:42,6.4,1630,2
442,CA3226,HO1120,12:30:00,15:20:00,2021-08-25 13:42:18,6.4,1630,0
203,HO1060,,19:30:00,22:25:00,2021-07-11 14:06:37,7.2,1672,45
211,HO1060,,19:30:00,22:25:00,2021-07-12 14:48:43,7.2,1672,44
220,HO1060,,19:30:00,22:25:00,2021-07-13 14:47:42,7.2,1672,43
227,HO1060,,19:30:00,22:25:00,2021-07-14 14:40:51,7.2,1672,42
238,HO1060,,19:30:00,22:25:00,2021-07-15 14:40:46,7.2,1672,41
249,HO1060,,19:30:00,22:25:00,2021-07-19 14:07:17,7.2,1672,37
259,HO1060,,19:30:00,22:25:00,2021-07-20 14:01:12,7.2,1672,36
275,HO1060,,19:30:00,22:25:00,2021-07-22 14:10:06,7.2,1672,34
283,HO1060,,19:30:00,22:25:00,2021-07-24 10:19:18,7.2,1672,32
289,HO1060,,19:30:00,22:25:00,2021-07-26 14:44:23,7.2,1672,30
296,HO1060,,19:30:00,22:25:00,2021-07-29 14:33:51,5.2,1202,27
306,HO1060,,19:30:00,22:25:00,2021-07-31 13:54:45,5.2,1202,25
309,HO1060,,19:30:00,22:25:00,2021-08-01 14:03:52,5.2,1202,24
313,HO1060,,19:30:00,22:25:00,2021-08-03 14:02:05,4.2,972,22
324,HO1060,,19:30:00,22:25:00,2021-08-05 14:22:54,3.8,890,20
346,HO1060,,19:30:00,22:25:00,2021-08-06 14:32:54,3.8,890,19
358,HO1060,,19:30:00,22:25:00,2021-08-09 14:33:36,2.1,493,16
362,HO1060,,19:30:00,22:25:00,2021-08-11 14:33:45,6.3,1478,14
364,HO1060,,19:30:00,22:25:00,2021-08-12 13:45:52,6.3,1478,13
374,HO1060,,19:30:00,22:25:00,2021-08-13 06:26:29,1.5,350,12
386,HO1060,,19:30:00,22:25:00,2021-08-14 13:53:17,1.5,350,11
391,HO1060,,19:30:00,22:25:00,2021-08-15 13:41:08,1.5,350,10
403,HO1060,,19:30:00,22:25:00,2021-08-18 13:49:44,1.5,350,7
423,HO1060,,19:30:00,22:25:00,2021-08-22 13:55:43,1.5,350,3
431,HO1060,,19:30:00,22:25:00,2021-08-23 14:20:42,6.3,1478,2
206,HO1098,,14:30:00,17:25:00,2021-07-11 14:06:37,6.8,1580,45
207,HO1098,,14:30:00,17:25:00,2021-07-12 14:48:43,6.8,1580,44
214,HO1098,,14:30:00,17:25:00,2021-07-13 14:47:42,6.8,1580,43
230,HO1098,,14:30:00,17:25:00,2021-07-14 14:40:51,6.8,1580,42
241,HO1098,,14:30:00,17:25:00,2021-07-15 14:40:46,6.8,1580,41
253,HO1098,,14:30:00,17:25:00,2021-07-19 14:07:17,6.8,1580,37
262,HO1098,,14:30:00,17:25:00,2021-07-20 14:01:12,6.8,1580,36
272,HO1098,,14:30:00,17:25:00,2021-07-22 14:10:06,6.8,1580,34
286,HO1098,,14:30:00,17:25:00,2021-07-24 10:19:18,6.8,1580,32
292,HO1098,,14:30:00,17:25:00,2021-07-26 14:44:23,6.8,1580,30
304,HO1098,,14:30:00,17:25:00,2021-07-29 14:33:51,4.8,1110,27
305,HO1098,,14:30:00,17:25:00,2021-07-31 13:54:45,4.8,1110,25
312,HO1098,,14:30:00,17:25:00,2021-08-01 14:03:52,4.8,1110,24
322,HO1098,,14:30:00,17:25:00,2021-08-03 14:02:05,3.8,880,22
327,HO1098,,14:30:00,17:25:00,2021-08-05 14:22:54,3.8,890,20
337,HO1098,,14:30:00,17:25:00,2021-08-06 14:32:54,3.8,890,19
349,HO1098,,14:30:00,17:25:00,2021-08-09 14:33:36,2.1,493,16
361,HO1098,,14:30:00,17:25:00,2021-08-11 14:33:45,6.3,1478,14
367,HO1098,,14:30:00,17:25:00,2021-08-12 13:45:52,6.3,1478,13
371,HO1098,,14:30:00,17:25:00,2021-08-13 06:26:29,1.5,350,12
383,HO1098,,14:30:00,17:25:00,2021-08-14 13:53:17,1.5,350,11
399,HO1098,,14:30:00,17:25:00,2021-08-15 13:41:08,1.7,395,10
412,HO1098,,14:30:00,17:25:00,2021-08-18 13:49:44,2.5,580,7
415,HO1098,,14:30:00,17:25:00,2021-08-19 13:47:18,6.3,1478,6
426,HO1098,,14:30:00,17:25:00,2021-08-22 13:55:43,2.5,580,3
430,HO1098,,14:30:00,17:25:00,2021-08-23 14:20:42,6.3,1478,2
438,HO1098,,14:30:00,17:25:00,2021-08-25 13:42:18,1.9,445,0
205,HO1120,,12:30:00,15:20:00,2021-07-11 14:06:37,7.2,1666,45
209,HO1120,,12:30:00,15:20:00,2021-07-12 14:48:43,7.2,1666,44
222,HO1120,,12:30:00,15:20:00,2021-07-13 14:47:42,7.2,1666,43
225,HO1120,,12:30:00,15:20:00,2021-07-14 14:40:51,7.2,1666,42
236,HO1120,,12:30:00,15:20:00,2021-07-15 14:40:46,7.2,1666,41
250,HO1120,,12:30:00,15:20:00,2021-07-19 14:07:17,7.2,1666,37
257,HO1120,,12:30:00,15:20:00,2021-07-20 14:01:12,7.2,1666,36
277,HO1120,,12:30:00,15:20:00,2021-07-22 14:10:06,7.2,1666,34
281,HO1120,,12:30:00,15:20:00,2021-07-24 10:19:18,7.2,1666,32
290,HO1120,,12:30:00,15:20:00,2021-07-26 14:44:23,7.2,1666,30
300,HO1120,,12:30:00,15:20:00,2021-07-29 14:33:51,7.1,1646,27
307,HO1120,,12:30:00,15:20:00,2021-07-31 13:54:45,7.1,1646,25
311,HO1120,,12:30:00,15:20:00,2021-08-01 14:03:52,7.1,1646,24
317,HO1120,,12:30:00,15:20:00,2021-08-03 14:02:05,4.1,966,22
334,HO1120,,12:30:00,15:20:00,2021-08-05 14:22:54,3.8,890,20
343,HO1120,,12:30:00,15:20:00,2021-08-06 14:32:54,3.8,890,19
355,HO1120,,12:30:00,15:20:00,2021-08-09 14:33:36,2.1,493,16
360,HO1120,,12:30:00,15:20:00,2021-08-11 14:33:45,6.3,1478,14
366,HO1120,,12:30:00,15:20:00,2021-08-12 13:45:52,6.3,1478,13
377,HO1120,,12:30:00,15:20:00,2021-08-13 06:26:29,1.5,350,12
389,HO1120,,12:30:00,15:20:00,2021-08-14 13:53:17,1.7,395,11
394,HO1120,,12:30:00,15:20:00,2021-08-15 13:41:08,1.7,395,10
406,HO1120,,12:30:00,15:20:00,2021-08-18 13:49:44,2.5,580,7
417,HO1120,,12:30:00,15:20:00,2021-08-19 13:47:18,6.3,1478,6
420,HO1120,,12:30:00,15:20:00,2021-08-22 13:55:43,1.7,395,3
433,HO1120,,12:30:00,15:20:00,2021-08-23 14:20:42,6.3,1478,2
441,HO1120,,12:30:00,15:20:00,2021-08-25 13:42:18,1.9,445,0
213,MU3446,HO1060,19:30:00,22:25:00,2021-07-13 14:47:42,10.0,2560,43
229,MU3446,HO1060,19:30:00,22:25:00,2021-07-14 14:40:51,10.0,2560,42
240,MU3446,HO1060,19:30:00,22:25:00,2021-07-15 14:40:46,10.0,2560,41
252,MU3446,HO1060,19:30:00,22:25:00,2021-07-19 14:07:17,10.0,2560,37
261,MU3446,HO1060,19:30:00,22:25:00,2021-07-20 14:01:12,10.0,2560,36
273,MU3446,HO1060,19:30:00,22:25:00,2021-07-22 14:10:06,10.0,2560,34
285,MU3446,HO1060,19:30:00,22:25:00,2021-07-24 10:19:18,10.0,2560,32
294,MU3446,HO1060,19:30:00,22:25:00,2021-07-29 14:33:51,10.0,2560,27
314,MU3446,HO1060,19:30:00,22:25:00,2021-08-03 14:02:05,10.0,2560,22
326,MU3446,HO1060,19:30:00,22:25:00,2021-08-05 14:22:54,10.0,2560,20
347,MU3446,HO1060,19:30:00,22:25:00,2021-08-06 14:32:54,10.0,2560,19
359,MU3446,HO1060,19:30:00,22:25:00,2021-08-09 14:33:36,10.0,2560,16
372,MU3446,HO1060,19:30:00,22:25:00,2021-08-13 06:26:29,10.0,2560,12
384,MU3446,HO1060,19:30:00,22:25:00,2021-08-14 13:53:17,10.0,2560,11
400,MU3446,HO1060,19:30:00,22:25:00,2021-08-15 13:41:08,10.0,2560,10
401,MU3446,HO1060,19:30:00,22:25:00,2021-08-18 13:49:44,10.0,2560,7
425,MU3446,HO1060,19:30:00,22:25:00,2021-08-22 13:55:43,10.0,2560,3
216,MU3448,HO1098,14:30:00,17:25:00,2021-07-13 14:47:42,10.0,2560,43
223,MU3448,HO1098,14:30:00,17:25:00,2021-07-14 14:40:51,10.0,2560,42
243,MU3448,HO1098,14:30:00,17:25:00,2021-07-15 14:40:46,10.0,2560,41
255,MU3448,HO1098,14:30:00,17:25:00,2021-07-19 14:07:17,10.0,2560,37
264,MU3448,HO1098,14:30:00,17:25:00,2021-07-20 14:01:12,10.0,2560,36
270,MU3448,HO1098,14:30:00,17:25:00,2021-07-22 14:10:06,10.0,2560,34
288,MU3448,HO1098,14:30:00,17:25:00,2021-07-24 10:19:18,10.0,2560,32
302,MU3448,HO1098,14:30:00,17:25:00,2021-07-29 14:33:51,10.0,2560,27
