,flightno,actualflight,departtime,arrivetime,crawltime,discount,lowest_price,days_to_departure
3071,3U1007,CZ3151,08:35:00,11:40:00,2019-11-29 15:30:59,8.4,2100,45
3175,3U1007,CZ3151,08:35:00,11:40:00,2019-11-30 14:55:58,8.4,2100,44
3253,3U1007,CZ3151,08:35:00,11:40:00,2019-12-01 14:41:49,8.4,2100,43
3277,3U1007,CZ3151,08:35:00,11:40:00,2019-12-02 15:11:44,8.4,2100,42
3407,3U1007,CZ3151,08:35:00,11:40:00,2019-12-03 15:07:27,8.4,2100,41
3483,3U1007,CZ3151,08:35:00,11:40:00,2019-12-04 15:08:21,8.4,2100,40
3560,3U1007,CZ3151,08:35:00,11:40:00,2019-12-05 14:34:05,8.4,2100,39
3640,3U1007,CZ3151,08:35:00,11:40:00,2019-12-06 15:37:11,8.4,2100,38
3715,3U1007,CZ3151,08:35:00,11:40:00,2019-12-07 14:59:33,8.4,2100,37
3791,3U1007,CZ3151,08:35:00,11:40:00,2019-12-08 16:07:01,8.4,2100,36
3870,3U1007,CZ3151,08:35:00,11:40:00,2019-12-09 15:51:29,8.4,2100,35
3945,3U1007,CZ3151,08:35:00,11:40:00,2019-12-11 16:36:19,8.4,2100,33
4022,3U1007,CZ3151,08:35:00,11:40:00,2019-12-12 14:37:44,8.4,2100,32
4102,3U1007,CZ3151,08:35:00,11:40:00,2019-12-13 15:59:05,8.4,2100,31
4176,3U1007,CZ3151,08:35:00,11:40:00,2019-12-14 17:06:38,8.4,2100,30
4253,3U1007,CZ3151,08:35:00,11:40:00,2019-12-15 14:41:20,8.4,2100,29
4332,3U1007,CZ3151,08:35:00,11:40:00,2019-12-16 15:08:49,8.4,2100,28
4407,3U1007,CZ3151,08:35:00,11:40:00,2019-12-17 15:59:16,8.4,2100,27
4482,3U1007,CZ3151,08:35:00,11:40:00,2019-12-18 16:54:14,8.4,2310,26
4560,3U1007,CZ3151,08:35:00,11:40:00,2019-12-19 15:00:27,8.1,2240,25
4631,3U1007,CZ3151,08:35:00,11:40:00,2019-12-20 13:37:20,8.1,2240,24
