,flightno,actualflight,departtime,arrivetime,crawltime,discount,lowest_price,days_to_departure
31,CA8186,,12:40:00,15:55:00,2020-02-21 16:29:13,9.9,2720,45
32,CA8186,,12:40:00,15:55:00,2020-02-22 16:36:16,9.9,2720,44
33,CA8186,,12:40:00,15:55:00,2020-02-23 16:20:27,9.9,2720,43
37,CA8186,,12:40:00,15:55:00,2020-02-24 17:16:39,9.9,2720,42
41,CA8186,,13:50:00,17:10:00,2020-02-25 15:44:11,9.9,2720,41
48,CA8186,,13:50:00,17:10:00,2020-02-26 14:36:50,9.9,2720,40
55,CA8186,,13:50:00,17:10:00,2020-02-27 14:47:53,10.0,2750,39
62,CA8186,,13:50:00,17:10:00,2020-02-28 16:26:00,9.9,2720,38
69,CA8186,,13:50:00,17:10:00,2020-02-29 16:54:23,9.9,2720,37
70,CA8186,,13:50:00,17:10:00,2020-03-01 17:19:36,9.9,2720,36
83,CA8186,,13:50:00,17:10:00,2020-03-02 16:59:27,9.9,2720,35
91,CA8186,,13:50:00,17:10:00,2020-03-03 17:15:23,9.9,2720,34
99,CA8186,,13:50:00,17:10:00,2020-03-04 17:01:19,9.9,2720,33
107,CA8186,,13:50:00,17:10:00,2020-03-05 15:58:36,9.9,2720,32
108,CA8186,,13:50:00,17:10:00,2020-03-06 15:25:13,9.9,2720,31
122,CA8186,,13:50:00,17:10:00,2020-03-08 15:19:04,9.9,2720,29
127,CA8186,,13:50:00,17:10:00,2020-03-09 17:15:39,9.9,2720,28
136,CA8186,,13:50:00,17:10:00,2020-03-10 16:43:30,9.9,2720,27
149,CA8186,,13:50:00,17:10:00,2020-03-11 18:30:10,9.9,2720,26
160,CA8186,,13:50:00,17:10:00,2020-03-12 14:53:32,9.9,2720,25
168,CA8186,,13:50:00,17:10:00,2020-03-13 16:31:49,9.9,2720,24
185,CA8186,,13:50:00,17:10:00,2020-03-14 14:47:40,9.9,2720,23
188,CA8186,,13:50:00,17:10:00,2020-03-15 16:08:22,9.9,2720,22
199,CA8186,,13:50:00,17:10:00,2020-03-17 14:50:46,4.0,1110,20
211,CA8186,,13:50:00,17:10:00,2020-03-18 13:33:59,4.0,1110,19
225,CA8186,,13:50:00,17:10:00,2020-03-19 16:01:34,4.0,1110,18
237,CA8186,,13:50:00,17:10:00,2020-03-20 16:36:05,4.0,1110,17
244,CA8186,,13:50:00,17:10:00,2020-03-21 16:07:59,4.0,1110,16
245,CA8186,,13:50:00,17:10:00,2020-03-22 16:26:15,4.0,1110,15
252,CA8186,,13:50:00,17:10:00,2020-03-23 17:20:54,4.0,1110,14
265,CA8186,,13:50:00,17:10:00,2020-03-24 15:11:23,4.3,1170,13
90,CZ3157,,14:35:00,17:40:00,2020-03-03 17:15:23,10.0,2750,34
98,CZ3157,,14:35:00,17:40:00,2020-03-04 17:01:19,10.0,2750,33
105,CZ3157,,14:35:00,17:40:00,2020-03-05 15:58:36,6.4,1748,32
115,CZ3157,,14:35:00,17:40:00,2020-03-06 15:25:13,5.4,1478,31
118,CZ3157,,14:35:00,17:40:00,2020-03-08 15:19:04,3.6,994,29
132,CZ3157,,14:35:00,17:40:00,2020-03-09 17:15:39,3.6,1003,28
140,CZ3157,,14:35:00,17:40:00,2020-03-10 16:43:30,4.9,1350,27
145,CZ3157,,14:35:00,17:40:00,2020-03-11 18:30:10,4.9,1350,26
157,CZ3157,,14:35:00,17:40:00,2020-03-12 14:53:32,4.9,1350,25
170,CZ3157,,14:35:00,17:40:00,2020-03-13 16:31:49,4.8,1332,24
179,CZ3157,,14:35:00,17:40:00,2020-03-14 14:47:40,4.8,1320,23
194,CZ3157,,14:35:00,17:40:00,2020-03-15 16:08:22,2.6,702,22
204,CZ3157,,14:35:00,17:40:00,2020-03-17 14:50:46,2.5,700,20
217,CZ3157,,14:35:00,17:40:00,2020-03-18 13:33:59,2.5,700,19
228,CZ3157,,14:35:00,17:40:00,2020-03-19 16:01:34,2.2,600,18
235,CZ3157,,14:35:00,17:40:00,2020-03-20 16:36:05,2.2,600,17
242,CZ3157,,14:35:00,17:40:00,2020-03-21 16:07:59,2.2,600,16
249,CZ3157,,14:35:00,17:40:00,2020-03-22 16:26:15,2.2,600,15
256,CZ3157,,14:35:00,17:40:00,2020-03-23 17:20:54,2.2,600,14
263,CZ3157,,14:35:00,17:40:00,2020-03-24 15:11:23,2.2,600,13
163,CZ5058,MF8141,19:55:00,23:00:00,2020-03-13 16:31:49,10.0,2750,24
177,CZ5058,MF8141,19:55:00,23:00:00,2020-03-14 14:47:40,10.0,2750,23
187,CZ5058,MF8141,19:55:00,23:00:00,2020-03-15 16:08:22,10.0,2750,22
206,CZ5058,MF8141,19:55:00,23:00:00,2020-03-17 14:50:46,10.0,2750,20
219,CZ5058,MF8141,19:55:00,23:00:00,2020-03-18 13:33:59,10.0,2750,19
227,CZ5058,MF8141,19:55:00,23:00:00,2020-03-19 16:01:34,10.0,2750,18
236,CZ5058,MF8141,19:55:00,23:00:00,2020-03-20 16:36:05,10.0,2750,17
243,CZ5058,MF8141,19:55:00,23:00:00,2020-03-21 16:07:59,10.0,2750,16
250,CZ5058,MF8141,19:55:00,23:00:00,2020-03-22 16:26:15,10.0,2750,15
257,CZ5058,MF8141,19:55:00,23:00:00,2020-03-23 17:20:54,10.0,2750,14
264,CZ5058,MF8141,19:55:00,23:00:00,2020-03-24 15:11:23,10.0,2750,13
267,CZ5058,MF8141,19:55:00,23:00:00,2020-03-25 15:17:52,10.0,2750,12
270,CZ5058,MF8141,19:55:00,23:00:00,2020-03-26 15:04:21,10.0,2750,11
275,CZ5058,MF8141,19:55:00,23:00:00,2020-03-27 15:35:31,10.0,2750,10
279,CZ5058,MF8141,19:55:00,23:00:00,2020-03-28 14:32:20,10.0,2750,9
283,CZ5058,MF8141,19:55:00,23:00:00,2020-03-29 14:38:14,10.0,2750,8
287,CZ5058,MF8141,19:55:00,23:00:00,2020-03-30 16:52:46,10.0,2750,7
291,CZ5058,MF8141,19:55:00,23:00:00,2020-03-31 17:15:13,10.0,2750,6
295,CZ5058,MF8141,19:55:00,23:00:00,2020-04-01 17:26:27,10.0,2750,5
299,CZ5058,MF8141,19:55:00,23:00:00,2020-04-02 15:45:19,5.4,1490,4
303,CZ5058,MF8141,19:55:00,23:00:00,2020-04-03 15:57:07,5.4,1490,3
307,CZ5058,MF8141,19:55:00,23:00:00,2020-04-05 15:49:27,5.4,1490,1
313,CZ5058,MF8141,19:55:00,23:00:00,2020-04-06 17:37:37,5.4,1490,0
316,CZ5058,MF8141,19:55:00,23:00:00,2020-04-07 16:50:28,5.6,1533,0
36,KN5856,,11:30:00,16:10:00,2020-02-24 17:16:39,5.3,1317,42
38,KN5856,,11:30:00,16:10:00,2020-02-25 15:44:11,4.9,1218,41
42,KN5856,,11:30:00,16:10:00,2020-02-26 14:36:50,4.5,1125,40
49,KN5856,,11:30:00,16:10:00,2020-02-27 14:47:53,4.1,1019,39
56,KN5856,,11:30:00,16:10:00,2020-02-28 16:26:00,4.1,1019,38
68,KN5856,,11:30:00,16:10:00,2020-02-29 16:54:23,4.1,1024,37
76,KN5856,,11:30:00,16:10:00,2020-03-01 17:19:36,4.1,1019,36
77,KN5856,,11:30:00,16:10:00,2020-03-02 16:59:27,4.1,1019,35
84,KN5856,,11:30:00,16:10:00,2020-03-03 17:15:23,4.1,1037,34
92,KN5856,,11:30:00,16:10:00,2020-03-04 17:01:19,4.1,1022,33
106,KN5856,,11:30:00,16:10:00,2020-03-05 15:58:36,4.2,1047,32
109,KN5856,,11:30:00,16:10:00,2020-03-06 15:25:13,7.7,1935,31
125,KN5856,,11:30:00,16:10:00,2020-03-08 15:19:04,7.7,1935,29
133,KN5856,,11:30:00,16:10:00,2020-03-09 17:15:39,7.7,1935,28
139,KN5856,,11:30:00,16:10:00,2020-03-10 16:43:30,7.7,1935,27
144,KN5856,,11:30:00,16:10:00,2020-03-11 18:30:10,7.4,1861,26
159,KN5856,,11:30:00,16:10:00,2020-03-12 14:53:32,7.4,1861,25
169,KN5856,,11:30:00,16:10:00,2020-03-13 16:31:49,7.4,1861,24
180,KN5856,,11:30:00,16:10:00,2020-03-14 14:47:40,7.4,1861,23
193,KN5856,,11:30:00,16:10:00,2020-03-15 16:08:22,7.4,1861,22
205,KN5856,,11:30:00,16:10:00,2020-03-17 14:50:46,6.5,1629,20
218,KN5856,,11:30:00,16:10:00,2020-03-18 13:33:59,5.7,1431,19
34,KN5868,,15:55:00,18:50:00,2020-02-24 17:16:39,5.3,1337,42
39,KN5868,,15:55:00,18:50:00,2020-02-25 15:44:11,4.9,1230,41
44,KN5868,,15:55:00,18:50:00,2020-02-26 14:36:50,4.5,1133,40
51,KN5868,,15:55:00,18:50:00,2020-02-27 14:47:53,4.2,1058,39
58,KN5868,,15:55:00,18:50:00,2020-02-28 16:26:00,4.2,1058,38
65,KN5868,,15:55:00,18:50:00,2020-02-29 16:54:23,4.2,1058,37
72,KN5868,,15:55:00,18:50:00,2020-03-01 17:19:36,4.2,1058,36
79,KN5868,,15:55:00,18:50:00,2020-03-02 16:59:27,4.2,1058,35
86,KN5868,,15:55:00,18:50:00,2020-03-03 17:15:23,4.2,1058,34
94,KN5868,,15:55:00,18:50:00,2020-03-04 17:01:19,4.2,1058,33
100,KN5868,,15:55:00,18:50:00,2020-03-05 15:58:36,4.2,1058,32
114,KN5868,,15:55:00,18:50:00,2020-03-06 15:25:13,7.7,1935,31
124,KN5868,,15:55:00,18:50:00,2020-03-08 15:19:04,7.7,1935,29
134,KN5868,,15:55:00,18:50:00,2020-03-09 17:15:39,7.7,1935,28
137,KN5868,,15:55:00,18:50:00,2020-03-10 16:43:30,7.7,1935,27
151,KN5868,,15:55:00,18:50:00,2020-03-11 18:30:10,7.4,1861,26
154,KN5868,,15:55:00,18:50:00,2020-03-12 14:53:32,7.4,1861,25
165,KN5868,,15:55:00,18:50:00,2020-03-13 16:31:49,7.4,1861,24
176,KN5868,,15:55:00,18:50:00,2020-03-14 14:47:40,7.4,1861,23
191,KN5868,,15:55:00,18:50:00,2020-03-15 16:08:22,7.4,1861,22
208,KN5868,,15:55:00,18:50:00,2020-03-17 14:50:46,6.5,1637,20
221,KN5868,,15:55:00,18:50:00,2020-03-18 13:33:59,5.8,1449,19
35,KN5912,,16:35:00,20:55:00,2020-02-24 17:16:39,5.3,1332,42
40,KN5912,,16:35:00,20:55:00,2020-02-25 15:44:11,4.9,1227,41
45,KN5912,,16:35:00,20:55:00,2020-02-26 14:36:50,4.5,1135,40
52,KN5912,,16:35:00,20:55:00,2020-02-27 14:47:53,4.1,1023,39
59,KN5912,,16:35:00,20:55:00,2020-02-28 16:26:00,4.1,1019,38
66,KN5912,,16:35:00,20:55:00,2020-02-29 16:54:23,4.2,1039,37
73,KN5912,,16:35:00,20:55:00,2020-03-01 17:19:36,4.1,1019,36
80,KN5912,,16:35:00,20:55:00,2020-03-02 16:59:27,4.1,1019,35
87,KN5912,,16:35:00,20:55:00,2020-03-03 17:15:23,4.1,1026,34
95,KN5912,,16:35:00,20:55:00,2020-03-04 17:01:19,4.1,1021,33
